receipt_id,receipt_line_id,po_id,po_line_id,receipt_date,item_id,quantity_received
GR00001,GRL000001,PO00001,POL000001,2026-06-17,PRO-095,22.64
GR00002,GRL000002,PO00002,POL000002,2026-05-30,OFF-045,5.77
GR00003,GRL000003,PO00003,POL000003,2026-03-19,PRO-134,5.98
GR00004,GRL000004,PO00004,POL000004,2026-04-20,MAR-120,1.15
GR00005,GRL000005,PO00005,POL000005,2026-04-19,MAN-131,546.54
GR00006,GRL000006,PO00006,POL000006,2026-05-07,IT -088,23.0
GR00007,GRL000007,PO00007,POL000007,2026-07-21,PRO-074,616.2
GR00008,GRL000008,PO00008,POL000008,2026-06-02,PRO-085,2.16
GR00009,GRL000009,PO00009,POL000009,2026-01-21,OFF-007,2.34
GR00010,GRL000010,PO00010,POL000010,2026-03-04,LOG-095,2.12
GR00011,GRL000011,PO00011,POL000011,2026-01-30,IT -046,1.21
GR00012,GRL000012,PO00012,POL000012,2026-08-02,FAC-109,60.71
GR00013,GRL000013,PO00013,POL000013,2026-07-09,PRO-139,1.2
GR00014,GRL000014,PO00014,POL000014,2026-03-15,MAN-151,21.52
GR00015,GRL000015,PO00015,POL000015,2026-07-21,IT -152,12.0
GR00016,GRL000016,PO00016,POL000016,2026-07-13,UTI-019,2.14
GR00017,GRL000017,PO00017,POL000017,2026-02-02,MAR-136,12.03
GR00018,GRL000018,PO00018,POL000018,2026-07-22,FAC-001,595.89
GR00019,GRL000019,PO00019,POL000019,2026-02-26,LOG-077,61.31
GR00020,GRL000020,PO00020,POL000020,2026-02-21,LOG-097,605.44
GR00021,GRL000021,PO00021,POL000021,2026-09-05,UTI-067,1.2
GR00022,GRL000022,PO00022,POL000022,2026-06-30,UTI-096,58.29
GR00023,GRL000023,PO00023,POL000023,2026-07-24,FAC-143,55.65
GR00024,GRL000024,PO00024,POL000024,2026-07-11,IT -007,11.3
GR00025,GRL000025,PO00025,POL000025,2026-06-22,MAN-071,5.34
GR00026,GRL000026,PO00026,POL000026,2026-03-12,FAC-152,61.35
GR00027,GRL000027,PO00027,POL000027,2026-02-11,LOG-069,552.72
GR00028,GRL000028,PO00028,POL000028,2026-06-17,MAN-023,311.36
GR00029,GRL000029,PO00029,POL000029,2026-08-12,FAC-121,2.28
GR00030,GRL000030,PO00030,POL000030,2026-06-08,MAN-096,107.48
GR00031,GRL000031,PO00031,POL000031,2026-05-23,PRO-045,288.06
GR00032,GRL000032,PO00032,POL000032,2026-05-13,LOG-143,121.4
GR00033,GRL000033,PO00033,POL000033,2026-03-26,IT -102,11.23
GR00034,GRL000034,PO00034,POL000034,2026-06-06,MAN-087,24.63
GR00035,GRL000035,PO00035,POL000035,2026-09-05,MAN-040,22.12
GR00036,GRL000036,PO00036,POL000036,2026-01-17,UTI-131,592.94
GR00037,GRL000037,PO00037,POL000037,2026-06-27,PRO-156,5.65
GR00038,GRL000038,PO00038,POL000038,2026-03-02,MAR-085,6.08
GR00039,GRL000039,PO00039,POL000039,2026-07-16,OFF-062,1.15
GR00040,GRL000040,PO00040,POL000040,2026-06-01,PRO-158,21.5
GR00041,GRL000041,PO00041,POL000041,2026-08-05,OFF-084,1.19
GR00042,GRL000042,PO00042,POL000042,2026-06-01,LOG-156,23.11
GR00043,GRL000043,PO00043,POL000043,2026-04-25,UTI-139,2.43
GR00044,GRL000044,PO00044,POL000044,2026-02-20,IT -020,62.21
GR00045,GRL000045,PO00045,POL000045,2026-03-31,UTI-138,303.77
GR00046,GRL000046,PO00046,POL000046,2026-06-05,FAC-009,56.75
GR00047,GRL000047,PO00047,POL000047,2026-05-13,OFF-144,5.29
GR00048,GRL000048,PO00048,POL000048,2026-06-14,IT -031,1.16
GR00049,GRL000049,PO00049,POL000049,2026-07-18,IT -029,120.69
GR00050,GRL000050,PO00050,POL000050,2026-03-06,PRO-134,23.91
GR00051,GRL000051,PO00051,POL000051,2026-05-12,LOG-059,269.22
GR00052,GRL000052,PO00052,POL000052,2026-06-03,PRO-078,2.5
GR00053,GRL000053,PO00053,POL000053,2026-04-04,UTI-067,1.12
GR00054,GRL000054,PO00054,POL000054,2026-01-19,IT -070,5.77
GR00055,GRL000055,PO00055,POL000055,2026-03-20,UTI-051,611.03
GR00056,GRL000056,PO00056,POL000056,2026-02-23,MAR-147,6.09
GR00057,GRL000057,PO00057,POL000057,2026-01-16,OFF-090,1.13
GR00058,GRL000058,PO00058,POL000058,2026-06-26,MAN-111,1.24
GR00059,GRL000059,PO00059,POL000059,2026-06-30,MAN-071,5.31
GR00060,GRL000060,PO00060,POL000060,2026-05-20,OFF-083,23.74
GR00061,GRL000061,PO00061,POL000061,2026-07-01,UTI-009,2.32
GR00062,GRL000062,PO00062,POL000062,2026-07-21,PRO-155,21.17
GR00063,GRL000063,PO00063,POL000063,2026-03-31,IT -037,551.44
GR00064,GRL000064,PO00064,POL000064,2026-03-28,IT -124,110.59
GR00065,GRL000065,PO00065,POL000065,2026-07-09,FAC-126,22.69
GR00066,GRL000066,PO00066,POL000066,2026-02-17,FAC-056,1.13
GR00067,GRL000067,PO00067,POL000067,2026-03-14,OFF-089,5.28
GR00068,GRL000068,PO00068,POL000068,2026-07-20,IT -018,590.33
GR00069,GRL000069,PO00069,POL000069,2026-04-21,MAN-084,107.83
GR00070,GRL000070,PO00070,POL000070,2026-07-28,LOG-052,55.06
GR00071,GRL000071,PO00071,POL000071,2026-05-08,IT -130,61.5
GR00072,GRL000072,PO00072,POL000072,2026-08-08,PRO-151,1.12
GR00073,GRL000073,PO00073,POL000073,2026-04-02,PRO-058,12.35
GR00074,GRL000074,PO00074,POL000074,2026-03-27,MAR-077,1.17
GR00075,GRL000075,PO00075,POL000075,2026-04-14,OFF-031,2.14
GR00076,GRL000076,PO00076,POL000076,2026-07-12,MAR-058,118.59
GR00077,GRL000077,PO00077,POL000077,2026-05-02,LOG-076,58.8
GR00078,GRL000078,PO00078,POL000078,2026-06-11,OFF-004,121.24
GR00079,GRL000079,PO00079,POL000079,2026-04-25,LOG-013,277.01
GR00080,GRL000080,PO00080,POL000080,2026-07-29,MAR-160,58.76
GR00081,GRL000081,PO00081,POL000081,2026-06-16,LOG-097,50
GR00082,GRL000082,PO00082,POL000082,2026-08-12,MAN-154,1
GR00083,GRL000083,PO00083,POL000083,2026-07-05,LOG-081,100
GR00084,GRL000084,PO00084,POL000084,2026-08-06,OFF-074,10
GR00085,GRL000085,PO00085,POL000085,2026-03-12,UTI-006,100
GR00086,GRL000086,PO00086,POL000086,2026-07-16,IT -131,2
GR00087,GRL000087,PO00087,POL000087,2026-01-29,MAR-041,10
GR00088,GRL000088,PO00088,POL000088,2026-07-26,FAC-121,250
GR00089,GRL000089,PO00089,POL000089,2026-06-09,UTI-024,2
GR00090,GRL000090,PO00090,POL000090,2026-04-16,MAR-033,20
GR00091,GRL000091,PO00091,POL000091,2026-05-26,UTI-133,50
GR00092,GRL000092,PO00092,POL000092,2026-01-14,IT -027,20
GR00093,GRL000093,PO00093,POL000093,2026-03-05,IT -006,5
GR00094,GRL000094,PO00094,POL000094,2026-08-17,MAN-070,5
GR00095,GRL000095,PO00095,POL000095,2026-06-01,LOG-110,5
GR00096,GRL000096,PO00096,POL000096,2026-06-19,IT -143,5
GR00097,GRL000097,PO00097,POL000097,2026-07-30,IT -118,10
GR00098,GRL000098,PO00098,POL000098,2026-08-22,PRO-049,50
GR00099,GRL000099,PO00099,POL000099,2026-02-20,FAC-018,20
GR00100,GRL000100,PO00100,POL000100,2026-03-14,IT -139,5
GR00101,GRL000101,PO00101,POL000101,2026-06-28,MAN-040,10
GR00102,GRL000102,PO00102,POL000102,2026-03-29,PRO-068,5
GR00103,GRL000103,PO00103,POL000103,2026-04-06,FAC-011,100
GR00104,GRL000104,PO00104,POL000104,2026-05-21,UTI-094,250
GR00105,GRL000105,PO00105,POL000105,2026-03-23,PRO-084,20
GR00106,GRL000106,PO00106,POL000106,2026-07-24,LOG-049,50
GR00107,GRL000107,PO00107,POL000107,2026-05-24,IT -030,20
GR00108,GRL000108,PO00108,POL000108,2026-05-15,LOG-024,500
GR00109,GRL000109,PO00109,POL000109,2026-02-02,LOG-006,250
GR00110,GRL000110,PO00110,POL000110,2026-07-27,PRO-131,100
GR00111,GRL000111,PO00111,POL000111,2026-07-01,PRO-133,100
GR00112,GRL000112,PO00112,POL000112,2026-08-05,UTI-133,100
GR00113,GRL000113,PO00113,POL000113,2026-02-07,UTI-154,250
GR00114,GRL000114,PO00114,POL000114,2026-06-09,IT -141,20
GR00115,GRL000115,PO00115,POL000115,2026-02-21,OFF-036,20
GR00116,GRL000116,PO00116,POL000116,2026-04-16,OFF-063,500
GR00117,GRL000117,PO00117,POL000117,2026-02-01,MAN-001,20
GR00118,GRL000118,PO00118,POL000118,2026-07-22,LOG-128,250
GR00119,GRL000119,PO00119,POL000119,2026-07-20,MAN-075,5
GR00120,GRL000120,PO00120,POL000120,2026-02-27,LOG-075,100
GR00121,GRL000121,PO00121,POL000121,2026-02-24,MAN-050,10
GR00122,GRL000122,PO00122,POL000122,2026-03-14,OFF-158,2
GR00123,GRL000123,PO00123,POL000123,2026-03-15,MAR-130,1
GR00124,GRL000124,PO00124,POL000124,2026-02-11,PRO-135,250
GR00125,GRL000125,PO00125,POL000125,2026-03-17,PRO-077,250
GR00126,GRL000126,PO00126,POL000126,2026-04-18,PRO-083,250
GR00127,GRL000127,PO00127,POL000127,2026-06-01,PRO-061,500
GR00128,GRL000128,PO00128,POL000128,2026-06-07,MAN-152,500
GR00129,GRL000129,PO00129,POL000129,2026-08-10,LOG-064,10
GR00130,GRL000130,PO00130,POL000130,2026-06-08,IT -038,100
GR00131,GRL000131,PO00131,POL000131,2026-05-27,PRO-022,10
GR00132,GRL000132,PO00132,POL000132,2026-05-20,MAN-065,2
GR00133,GRL000133,PO00133,POL000133,2026-05-01,MAR-145,10
GR00134,GRL000134,PO00134,POL000134,2026-02-10,LOG-034,250
GR00135,GRL000135,PO00135,POL000135,2026-02-05,PRO-032,500
GR00136,GRL000136,PO00136,POL000136,2026-06-21,IT -050,5
GR00137,GRL000137,PO00137,POL000137,2026-04-04,UTI-012,10
GR00138,GRL000138,PO00138,POL000138,2026-05-21,MAN-120,250
GR00139,GRL000139,PO00139,POL000139,2026-07-12,LOG-038,2
GR00140,GRL000140,PO00140,POL000140,2026-04-25,IT -019,250
GR00141,GRL000141,PO00141,POL000141,2026-04-01,MAR-145,20
GR00142,GRL000142,PO00142,POL000142,2026-04-30,IT -068,100
GR00143,GRL000143,PO00143,POL000143,2026-02-09,UTI-132,250
GR00144,GRL000144,PO00144,POL000144,2026-04-18,FAC-087,1
GR00145,GRL000145,PO00145,POL000145,2026-06-13,FAC-145,250
GR00146,GRL000146,PO00146,POL000146,2026-08-27,IT -023,1
GR00147,GRL000147,PO00147,POL000147,2026-05-21,MAN-043,500
GR00148,GRL000148,PO00148,POL000148,2026-07-28,MAR-013,2
GR00149,GRL000149,PO00149,POL000149,2026-01-14,UTI-140,500
GR00150,GRL000150,PO00150,POL000150,2026-03-27,PRO-005,20
GR00151,GRL000151,PO00151,POL000151,2026-05-05,MAN-033,5
GR00152,GRL000152,PO00152,POL000152,2026-09-01,OFF-092,100
GR00153,GRL000153,PO00153,POL000153,2026-08-25,PRO-021,10
GR00154,GRL000154,PO00154,POL000154,2026-09-10,OFF-115,1
GR00155,GRL000155,PO00155,POL000155,2026-07-07,PRO-088,10
GR00156,GRL000156,PO00156,POL000156,2026-06-06,MAN-090,100
GR00157,GRL000157,PO00157,POL000157,2026-05-31,LOG-112,20
GR00158,GRL000158,PO00158,POL000158,2026-06-24,PRO-031,10
GR00159,GRL000159,PO00159,POL000159,2026-07-05,FAC-062,2
GR00160,GRL000160,PO00160,POL000160,2026-06-07,MAN-137,250
GR00161,GRL000161,PO00161,POL000161,2026-07-07,OFF-147,250
GR00162,GRL000162,PO00162,POL000162,2026-06-19,PRO-120,20
GR00163,GRL000163,PO00163,POL000163,2026-09-01,UTI-083,5
GR00164,GRL000164,PO00164,POL000164,2026-06-22,FAC-009,50
GR00165,GRL000165,PO00165,POL000165,2026-05-14,UTI-054,2
GR00166,GRL000166,PO00166,POL000166,2026-06-16,LOG-100,500
GR00167,GRL000167,PO00167,POL000167,2026-02-07,FAC-099,20
GR00168,GRL000168,PO00168,POL000168,2026-05-27,MAR-078,500
GR00169,GRL000169,PO00169,POL000169,2026-06-12,OFF-079,2
GR00170,GRL000170,PO00170,POL000170,2026-04-17,FAC-104,250
GR00171,GRL000171,PO00171,POL000171,2026-03-27,OFF-079,5
GR00172,GRL000172,PO00172,POL000172,2026-05-26,IT -147,10
GR00173,GRL000173,PO00173,POL000173,2026-08-29,IT -053,50
GR00174,GRL000174,PO00174,POL000174,2026-04-06,PRO-092,250
GR00175,GRL000175,PO00175,POL000175,2026-05-28,UTI-141,500
GR00176,GRL000176,PO00176,POL000176,2026-02-23,MAR-019,100
