invoice_id,invoice_line_id,vendor_invoice_reference,vendor_id,vendor_name_raw,po_id,po_line_id,invoice_date,received_date,item_id,invoice_quantity,unit_price,tax_rate,line_subtotal,line_tax,line_total,currency,source_system,exception,exception_types
INV00001,INVL000001,SUP-INV00001,V0438,Horizon Supplies Pvt Ltd,PO01198,POL001198,2026-03-31,2026-04-05,OFF-157,500,1102.48,0.18,551240.0,99223.2,650463.2,INR,Supplier Network,0,
INV00002,INVL000002,SUP-INV00002,V0121,Delta Systems Pvt Ltd,PO01737,POL001737,2026-05-25,2026-05-30,LOG-082,500,8561.9,0.05,4280950.0,214047.5,4494997.5,INR,Vendor Portal,0,
INV00003,INVL000003,SUP-INV00003,V0154,Apex Systems Pvt Ltd,PO02422,POL002422,2026-05-17,2026-05-17,LOG-063,250,777.34,0.0,194335.0,0.0,194335.0,INR,EDI,0,
INV00004,INVL000004,SUP-INV00004,V0072,Bluewave Logistics Pvt Ltd,PO01233,POL001233,2026-06-13,2026-06-17,OFF-041,250,1019.9,0.0,254975.0,0.0,254975.0,INR,Email OCR,0,
INV00005,INVL000005,SUP-INV00005,V0154,Apex Systems Pvt Ltd,PO03050,POL003050,2026-05-05,2026-05-10,LOG-063,1,9731.62,0.0,9731.62,0.0,9731.62,INR,EDI,0,
INV00006,INVL000006,SUP-INV00006,V0359,Apex Enterprises Pvt Ltd,PO03310,POL003310,2026-08-13,2026-08-19,IT -062,1,17353.83,0.05,17353.83,867.69,18221.52,INR,Vendor Portal,0,
INV00007,INVL000007,SUP-INV00007,V0463,JUPITER SERVICES PVT LTD,PO04707,POL004707,2026-09-07,2026-09-12,IT -145,2,10389.33,0.18,20778.66,3740.16,24518.82,INR,Vendor Portal,0,
INV00008,INVL000008,SUP-INV00008,V0457,Global Services Pvt Ltd,PO04875,POL004875,2026-07-25,2026-07-25,LOG-084,2,3893.2,0.12,7786.4,934.37,8720.77,INR,EDI,0,
INV00009,INVL000009,SUP-INV00009,V0431,Apex Systems Pvt Ltd,PO01229,POL001229,2026-06-08,2026-06-11,UTI-035,10,2267.84,0.18,22678.4,4082.11,26760.51,INR,Email OCR,0,
INV00010,INVL000010,SUP-INV00010,V0271,Bluewave Services Pvt Ltd,PO01844,POL001844,2026-05-24,2026-05-26,OFF-156,20,1542.65,0.12,30853.0,3702.36,34555.36,INR,Email OCR,0,
INV00011,INVL000011,SUP-INV00011,V0047,Global Systems Pvt Ltd,PO04562,POL004562,2026-03-24,2026-04-01,MAN-121,1,809.22,0.05,809.22,40.46,849.68,INR,Email OCR,0,
INV00012,INVL000012,SUP-INV00012,V0178,Delta Supplies Pvt Ltd,PO02511,POL002511,2026-01-22,2026-01-25,MAR-062,100,11770.83,0.12,1177083.0,141249.96,1318332.96,INR,Vendor Portal,0,
INV00013,INVL000013,SUP-INV00013,V0157,Apex Enterprises Pvt Ltd,PO01132,POL001132,2026-04-28,2026-05-02,MAN-014,2,495.34,0.18,990.68,178.32,1169.0,INR,EDI,0,
INV00014,INVL000014,SUP-INV00014,V0360,Global Industries Pvt Ltd,PO04566,POL004566,2026-08-07,2026-08-10,FAC-088,10,3593.27,0.05,35932.7,1796.63,37729.33,INR,Vendor Portal,0,
INV00015,INVL000015,SUP-INV00015,V0245,Evergreen Systems Pvt Ltd,PO00171,POL000171,2026-06-05,2026-06-06,OFF-079,5,413.37,0.05,2066.85,103.34,2170.19,INR,EDI,0,
INV00016,INVL000016,SUP-INV00016,V0127,Global Components Pvt Ltd,PO03507,POL003507,2026-01-25,2026-02-01,LOG-044,50,4383.08,0.12,219154.0,26298.48,245452.48,INR,Email OCR,0,
INV00017,INVL000017,SUP-INV00017,V0078,Bluewave Systems Pvt Ltd,PO03587,POL003587,2026-06-24,2026-06-28,PRO-119,50,30105.38,0.05,1505269.0,75263.45,1580532.45,INR,Email OCR,0,
INV00018,INVL000018,SUP-INV00018,V0346,Bluewave Enterprises Pvt Ltd,PO04953,POL004953,2026-06-27,2026-06-28,OFF-062,250,1660.86,0.18,415215.0,74738.7,489953.7,INR,EDI,0,
INV00019,INVL000019,SUP-INV00019,V0225,Delta Supplies Pvt Ltd,PO02869,POL002869,2026-08-13,2026-08-20,FAC-016,2,1192.08,0.0,2384.16,0.0,2384.16,INR,Vendor Portal,0,
INV00020,INVL000020,SUP-INV00020,V0241,Jupiter Industries Pvt Ltd,PO03321,POL003321,2026-05-31,2026-05-31,UTI-091,2,1909.87,0.18,3819.74,687.55,4507.29,INR,EDI,0,
