payment_id,invoice_id,payment_date,payment_amount,status
PAY000001,INV00001,2026-04-25,650463.2,Paid
PAY000002,INV00002,2026-06-26,4494997.5,Paid
PAY000003,INV00003,2026-06-08,194335.0,Paid
PAY000004,INV00004,2026-07-27,254975.0,Paid
PAY000005,INV00005,2026-05-19,9731.62,Paid
PAY000006,INV00006,2026-08-20,18221.52,Paid
PAY000007,INV00007,2026-09-28,24518.82,Paid
PAY000008,INV00008,2026-08-15,8720.77,Paid
PAY000009,INV00009,2026-07-06,26760.51,Paid
PAY000010,INV00010,2026-06-07,34555.36,Paid
PAY000011,INV00011,2026-04-18,849.68,Paid
PAY000012,INV00012,2026-02-23,1318332.96,Paid
PAY000013,INV00013,2026-06-11,1169.0,Paid
PAY000014,INV00014,2026-09-16,37729.33,Paid
PAY000015,INV00015,2026-08-04,2170.19,Paid
PAY000016,INV00016,2026-02-11,245452.48,Paid
PAY000017,INV00017,2026-07-11,1580532.45,Paid
PAY000018,INV00018,2026-07-31,489953.7,Paid
PAY000019,INV00019,2026-10-19,2384.16,Paid
PAY000020,INV00020,2026-06-26,4507.29,Paid
PAY000021,INV00021,2026-06-04,2803213.0,Paid
PAY000022,INV00022,2026-08-22,39237.23,Paid
PAY000023,INV00023,2026-03-04,18489.8,Paid
PAY000024,INV00024,2026-04-25,1392785.62,Paid
PAY000025,INV00025,2026-09-20,328466.57,Paid
PAY000026,INV00026,2026-09-08,472928.66,Paid
PAY000027,INV00027,2026-08-21,957586.0,Paid
PAY000028,INV00028,2026-05-07,1138559.52,Paid
PAY000029,INV00029,2026-08-24,2052.61,Paid
PAY000030,INV00030,2026-08-10,44328.7,Paid
PAY000031,INV00031,2026-08-06,267587.6,Paid
PAY000032,INV00032,2026-04-19,1522.14,Paid
PAY000033,INV00033,2026-05-27,40827.14,Paid
PAY000034,INV00034,2026-04-15,1202849.2,Paid
PAY000035,INV00035,2026-07-26,63275.97,Paid
PAY000036,INV00036,2026-03-28,82606.72,Paid
PAY000037,INV00037,2026-06-28,10025.2,Paid
PAY000038,INV00038,2026-09-02,82541.2,Paid
PAY000039,INV00039,2026-10-11,59629.5,Paid
PAY000040,INV00040,2026-10-10,4190958.8,Paid
PAY000041,INV00041,2026-07-17,89702.48,Paid
PAY000042,INV00042,2026-03-13,516621.0,Paid
PAY000043,INV00043,2026-10-11,13740.74,Paid
PAY000044,INV00044,2026-05-15,401909.55,Paid
PAY000045,INV00045,2026-07-22,22208.0,Paid
PAY000046,INV00046,2026-08-21,94305.13,Paid
PAY000047,INV00047,2026-07-27,348480.72,Paid
PAY000048,INV00048,2026-08-27,1026.72,Paid
PAY000049,INV00049,2026-04-04,121514.5,Paid
PAY000050,INV00050,2026-09-04,148649.18,Paid
PAY000051,INV00051,2026-06-30,29515.59,Paid
PAY000052,INV00052,2026-03-24,92862.78,Paid
PAY000053,INV00053,2026-03-25,8324400.0,Paid
PAY000054,INV00054,2026-07-06,98555.1,Paid
PAY000055,INV00055,2026-06-22,254975.0,Paid
PAY000056,INV00056,2026-04-08,7428.03,Paid
PAY000057,INV00057,2026-04-04,1882315.0,Paid
PAY000058,INV00058,2026-07-07,5790.79,Paid
PAY000059,INV00059,2026-05-04,6681.2,Paid
PAY000060,INV00060,2026-06-16,4345847.52,Paid
PAY000061,INV00061,2026-08-29,3901811.6,Paid
PAY000062,INV00062,2026-06-27,13092.66,Paid
PAY000063,INV00063,2026-09-09,83469.12,Paid
PAY000064,INV00064,2026-09-22,205.16,Paid
PAY000065,INV00065,2026-04-16,13301.53,Paid
PAY000066,INV00066,2026-07-17,554227.12,Paid
PAY000067,INV00067,2026-04-30,793404.15,Paid
PAY000068,INV00068,2026-05-21,10230.08,Paid
PAY000069,INV00069,2026-04-14,887633.76,Paid
PAY000070,INV00070,2026-09-10,213886.8,Paid
PAY000071,INV00071,2026-05-25,458661.28,Paid
PAY000072,INV00072,2026-08-31,47622.68,Paid
PAY000073,INV00073,2026-05-20,1265866.35,Paid
PAY000074,INV00074,2026-06-16,45465.5,Paid
PAY000075,INV00075,2026-03-29,2667159.9,Paid
PAY000076,INV00076,2026-09-02,296103.3,Paid
PAY000077,INV00077,2026-04-10,5457.56,Paid
PAY000078,INV00078,2026-07-06,502588.8,Paid
PAY000079,INV00079,2026-04-15,497252.0,Paid
PAY000080,INV00080,2026-02-08,10048.73,Paid
PAY000081,INV00081,2026-07-03,36260.91,Paid
PAY000082,INV00082,2026-08-02,121361.74,Paid
PAY000083,INV00083,2026-05-06,9731.62,Paid
PAY000084,INV00084,2026-05-06,2373018.38,Paid
PAY000085,INV00085,2026-04-14,616239.12,Paid
PAY000086,INV00086,2026-02-25,556220.0,Paid
PAY000087,INV00087,2026-08-10,2685.0,Paid
PAY000088,INV00088,2026-05-12,96042.5,Paid
PAY000089,INV00089,2026-09-26,1787602.88,Paid
PAY000090,INV00090,2026-09-10,101216.15,Paid
PAY000091,INV00091,2026-08-08,1381.04,Paid
PAY000092,INV00092,2026-08-26,16028.52,Paid
PAY000093,INV00093,2026-07-12,14580.85,Paid
PAY000094,INV00094,2026-06-17,954217.6,Paid
PAY000095,INV00095,2026-06-15,576724.4,Paid
PAY000096,INV00096,2026-09-06,919192.86,Paid
PAY000097,INV00097,2026-03-04,1912982.4,Paid
PAY000098,INV00098,2026-04-27,14603.44,Paid
PAY000099,INV00099,2026-03-21,11319374.2,Paid
PAY000100,INV00100,2026-08-03,1239695.62,Paid
PAY000101,INV00101,2026-07-17,5782.55,Paid
PAY000102,INV00102,2026-03-16,31506.7,Paid
PAY000103,INV00103,2026-04-20,4012.94,Paid
PAY000104,INV00104,2026-07-20,20676.24,Paid
PAY000105,INV00105,2026-06-04,33106.96,Paid
PAY000106,INV00106,2026-07-03,136785.6,Paid
PAY000107,INV00107,2026-05-27,34596.25,Paid
PAY000108,INV00108,2026-04-01,302646.4,Paid
PAY000109,INV00109,2026-05-14,2339509.76,Paid
PAY000110,INV00110,2026-09-04,57195.19,Paid
PAY000111,INV00111,2026-07-10,379265.25,Paid
PAY000112,INV00112,2026-06-14,10399.55,Paid
PAY000113,INV00113,2026-10-23,1090974.9,Paid
PAY000114,INV00114,2026-08-23,518.19,Paid
PAY000115,INV00115,2026-08-19,6158.28,Paid
PAY000116,INV00116,2026-05-21,148838.83,Paid
PAY000117,INV00117,2026-06-07,14509.8,Paid
PAY000118,INV00118,2026-04-26,93000.52,Paid
PAY000119,INV00119,2026-05-03,113331.23,Paid
PAY000120,INV00120,2026-06-15,2957875.2,Paid
PAY000121,INV00121,2026-04-27,4741.03,Paid
PAY000122,INV00122,2026-06-28,362490.45,Paid
PAY000123,INV00123,2026-05-16,621211.36,Paid
PAY000124,INV00124,2026-03-25,125583.05,Paid
PAY000125,INV00125,2026-04-24,5397.38,Paid
PAY000126,INV00126,2026-03-21,892609.73,Paid
PAY000127,INV00127,2026-04-24,8548.5,Paid
PAY000128,INV00128,2026-04-28,995.8,Paid
PAY000129,INV00129,2026-05-09,401909.55,Paid
PAY000130,INV00130,2026-09-11,11486.2,Paid
PAY000131,INV00131,2026-04-26,11024.79,Paid
PAY000132,INV00132,2026-09-07,663297.15,Paid
PAY000133,INV00133,2026-07-24,130215.01,Paid
PAY000134,INV00134,2026-08-18,11784.89,Paid
PAY000135,INV00135,2026-08-05,48545.6,Paid
PAY000136,INV00136,2026-09-02,2052.61,Paid
PAY000137,INV00137,2026-08-22,3296370.0,Paid
PAY000138,INV00138,2026-08-08,46415.54,Paid
PAY000139,INV00139,2026-05-05,11861.25,Paid
PAY000140,INV00140,2026-03-06,61659.25,Paid
PAY000141,INV00141,2026-05-23,1003416.75,Paid
PAY000142,INV00142,2026-07-24,350969.76,Paid
PAY000143,INV00143,2026-08-08,15288.22,Paid
PAY000144,INV00144,2026-04-07,86805.28,Paid
PAY000145,INV00145,2026-06-30,62599.0,Paid
PAY000146,INV00146,2026-07-20,25993.95,Paid
PAY000147,INV00147,2026-03-14,55281.5,Paid
PAY000148,INV00148,2026-09-01,34821.03,Paid
PAY000149,INV00149,2026-07-24,400475.25,Paid
PAY000150,INV00150,2026-07-05,6591524.25,Paid
PAY000151,INV00151,2026-04-18,44207.6,Paid
PAY000152,INV00152,2026-04-29,6368.1,Paid
PAY000153,INV00153,2026-07-08,5483.7,Paid
PAY000154,INV00154,2026-03-07,397495.0,Paid
PAY000155,INV00155,2026-05-10,69242.57,Paid
PAY000156,INV00156,2026-04-13,3211.31,Paid
PAY000157,INV00157,2026-08-29,2571892.6,Paid
PAY000158,INV00158,2026-06-29,70704.59,Paid
PAY000159,INV00159,2026-06-24,509328.75,Paid
PAY000160,INV00160,2026-05-28,495611.2,Paid
PAY000161,INV00161,2026-03-12,98665.28,Paid
PAY000162,INV00162,2026-08-09,10463.48,Paid
PAY000163,INV00163,2026-08-07,305954.25,Paid
PAY000164,INV00164,2026-05-21,7056.58,Paid
PAY000165,INV00165,2026-06-17,1937.96,Paid
PAY000166,INV00166,2026-02-16,163982.28,Paid
PAY000167,INV00167,2026-06-24,659992.88,Paid
PAY000168,INV00168,2026-04-22,22955.48,Paid
PAY000169,INV00169,2026-07-01,211092.0,Paid
PAY000170,INV00170,2026-03-17,46113.9,Paid
PAY000171,INV00171,2026-06-08,193942.0,Paid
PAY000172,INV00172,2026-08-20,304006.5,Paid
PAY000173,INV00173,2026-03-20,4120698.75,Paid
PAY000174,INV00174,2026-08-29,57042.09,Paid
PAY000175,INV00175,2026-03-03,21342.25,Paid
PAY000176,INV00176,2026-04-16,2116164.8,Paid
PAY000177,INV00177,2026-08-01,9613.63,Paid
PAY000178,INV00178,2026-08-06,2656.16,Paid
PAY000179,INV00179,2026-08-14,186257.66,Paid
PAY000180,INV00180,2026-08-09,8906.93,Paid
PAY000181,INV00181,2026-07-06,502588.8,Paid
PAY000182,INV00182,2026-10-21,269008.95,Paid
