po_id,po_line_id,vendor_id,po_date,item_id,ordered_quantity,unit_price,tax_rate,currency
PO00001,POL000001,V0122,2026-06-05,PRO-095,20,25176.59,0.0,INR
PO00002,POL000002,V0339,2026-05-26,OFF-045,5,1698.38,0.12,INR
PO00003,POL000003,V0106,2026-03-04,PRO-134,5,2420.76,0.05,INR
PO00004,POL000004,V0077,2026-03-30,MAR-120,1,12430.1,0.18,INR
PO00005,POL000005,V0395,2026-03-18,MAN-131,500,3278.46,0.18,INR
PO00006,POL000006,V0373,2026-05-05,IT -088,20,6927.72,0.05,INR
PO00007,POL000007,V0162,2026-06-19,PRO-074,500,24720.92,0.05,INR
PO00008,POL000008,V0122,2026-04-10,PRO-085,2,20876.3,0.05,INR
PO00009,POL000009,V0096,2026-01-01,OFF-007,2,1497.97,0.05,INR
PO00010,POL000010,V0069,2026-01-16,LOG-095,2,8499.52,0.05,INR
PO00011,POL000011,V0226,2026-01-29,IT -046,1,6887.58,0.05,INR
PO00012,POL000012,V0212,2026-07-06,FAC-109,50,1208.5,0.12,INR
PO00013,POL000013,V0068,2026-06-02,PRO-139,1,26936.69,0.05,INR
PO00014,POL000014,V0387,2026-02-17,MAN-151,20,88.12,0.18,INR
PO00015,POL000015,V0148,2026-06-13,IT -152,10,3933.52,0.18,INR
PO00016,POL000016,V0177,2026-07-06,UTI-019,2,2678.47,0.18,INR
PO00017,POL000017,V0415,2026-01-13,MAR-136,10,6116.8,0.12,INR
PO00018,POL000018,V0093,2026-07-06,FAC-001,500,7103.32,0.18,INR
PO00019,POL000019,V0389,2026-01-04,LOG-077,50,6303.88,0.0,INR
PO00020,POL000020,V0487,2026-01-29,LOG-097,500,7877.69,0.18,INR
PO00021,POL000021,V0177,2026-07-25,UTI-067,1,4850.4,0.12,INR
PO00022,POL000022,V0207,2026-06-14,UTI-096,50,4385.64,0.05,INR
PO00023,POL000023,V0254,2026-06-11,FAC-143,50,5665.83,0.12,INR
PO00024,POL000024,V0031,2026-06-13,IT -007,10,23356.02,0.05,INR
PO00025,POL000025,V0320,2026-05-17,MAN-071,5,1351.81,0.05,INR
PO00026,POL000026,V0360,2026-01-17,FAC-152,50,5307.18,0.05,INR
PO00027,POL000027,V0127,2026-01-10,LOG-069,500,3483.95,0.12,INR
PO00028,POL000028,V0196,2026-05-14,MAN-023,250,1259.97,0.05,INR
PO00029,POL000029,V0368,2026-07-12,FAC-121,2,989.3,0.18,INR
PO00030,POL000030,V0371,2026-06-05,MAN-096,100,2885.04,0.05,INR
PO00031,POL000031,V0475,2026-04-04,PRO-045,250,28285.59,0.18,INR
PO00032,POL000032,V0284,2026-03-31,LOG-143,100,4002.29,0.18,INR
PO00033,POL000033,V0281,2026-02-09,IT -102,10,22076.98,0.12,INR
PO00034,POL000034,V0362,2026-06-02,MAN-087,20,1318.76,0.0,INR
PO00035,POL000035,V0391,2026-07-17,MAN-040,20,1526.56,0.12,INR
PO00036,POL000036,V0177,2026-01-09,UTI-131,500,3954.87,0.05,INR
PO00037,POL000037,V0257,2026-06-25,PRO-156,5,6948.52,0.05,INR
PO00038,POL000038,V0462,2026-01-29,MAR-085,5,859.58,0.05,INR
PO00039,POL000039,V0461,2026-07-06,OFF-062,1,76.71,0.12,INR
PO00040,POL000040,V0078,2026-05-02,PRO-158,20,31085.7,0.18,INR
PO00041,POL000041,V0263,2026-06-21,OFF-084,1,882.45,0.18,INR
PO00042,POL000042,V0129,2026-04-11,LOG-156,20,2571.85,0.0,INR
PO00043,POL000043,V0345,2026-03-14,UTI-139,2,924.58,0.12,INR
PO00044,POL000044,V0269,2026-01-02,IT -020,50,5378.99,0.0,INR
PO00045,POL000045,V0207,2026-03-23,UTI-138,250,4622.24,0.18,INR
PO00046,POL000046,V0009,2026-04-30,FAC-009,50,7031.09,0.12,INR
PO00047,POL000047,V0028,2026-04-24,OFF-144,5,1828.25,0.0,INR
PO00048,POL000048,V0247,2026-06-03,IT -031,1,21661.22,0.05,INR
PO00049,POL000049,V0250,2026-07-06,IT -029,100,13093.16,0.18,INR
PO00050,POL000050,V0430,2026-01-28,PRO-134,20,17663.51,0.05,INR
PO00051,POL000051,V0276,2026-04-27,LOG-059,250,8514.85,0.0,INR
PO00052,POL000052,V0084,2026-05-25,PRO-078,2,4132.27,0.0,INR
PO00053,POL000053,V0437,2026-03-10,UTI-067,1,302.13,0.05,INR
PO00054,POL000054,V0247,2026-01-02,IT -070,5,11524.08,0.12,INR
PO00055,POL000055,V0133,2026-02-13,UTI-051,500,1917.5,0.12,INR
PO00056,POL000056,V0340,2026-02-17,MAR-147,5,13479.64,0.18,INR
PO00057,POL000057,V0292,2026-01-03,OFF-090,1,330.67,0.12,INR
PO00058,POL000058,V0045,2026-05-20,MAN-111,1,2391.01,0.0,INR
PO00059,POL000059,V0074,2026-05-30,MAN-071,5,1556.76,0.18,INR
PO00060,POL000060,V0150,2026-05-06,OFF-083,20,1158.82,0.12,INR
PO00061,POL000061,V0442,2026-06-20,UTI-009,2,1467.81,0.18,INR
PO00062,POL000062,V0102,2026-07-12,PRO-155,20,11000.64,0.18,INR
PO00063,POL000063,V0270,2026-03-09,IT -037,500,20814.8,0.0,INR
PO00064,POL000064,V0031,2026-03-13,IT -124,100,2759.22,0.0,INR
PO00065,POL000065,V0015,2026-06-18,FAC-126,20,3933.99,0.05,INR
PO00066,POL000066,V0035,2026-01-30,FAC-056,1,1509.74,0.0,INR
PO00067,POL000067,V0140,2026-01-18,OFF-089,5,559.79,0.18,INR
PO00068,POL000068,V0448,2026-07-07,IT -018,500,24223.25,0.18,INR
PO00069,POL000069,V0196,2026-02-27,MAN-084,100,2750.4,0.05,INR
PO00070,POL000070,V0121,2026-07-19,LOG-052,50,2614.87,0.05,INR
PO00071,POL000071,V0318,2026-04-02,IT -130,50,17535.53,0.05,INR
PO00072,POL000072,V0261,2026-07-11,PRO-151,1,7257.28,0.05,INR
PO00073,POL000073,V0081,2026-02-15,PRO-058,10,11308.3,0.18,INR
PO00074,POL000074,V0198,2026-03-26,MAR-077,1,16753.59,0.05,INR
PO00075,POL000075,V0229,2026-03-10,OFF-031,2,1825.81,0.18,INR
PO00076,POL000076,V0185,2026-06-29,MAR-058,100,13490.93,0.18,INR
PO00077,POL000077,V0100,2026-04-20,LOG-076,50,8682.34,0.05,INR
PO00078,POL000078,V0485,2026-05-13,OFF-004,100,586.47,0.05,INR
PO00079,POL000079,V0116,2026-03-26,LOG-013,250,3310.79,0.05,INR
PO00080,POL000080,V0055,2026-06-25,MAR-160,50,9600.98,0.12,INR
PO00081,POL000081,V0121,2026-05-12,LOG-097,50,10394.43,0.0,INR
PO00082,POL000082,V0202,2026-07-01,MAN-154,1,3281.23,0.12,INR
PO00083,POL000083,V0497,2026-06-20,LOG-081,100,579.29,0.12,INR
PO00084,POL000084,V0278,2026-06-17,OFF-074,10,1087.29,0.0,INR
PO00085,POL000085,V0413,2026-01-24,UTI-006,100,2233.26,0.0,INR
PO00086,POL000086,V0318,2026-06-19,IT -131,2,8409.08,0.0,INR
PO00087,POL000087,V0308,2026-01-17,MAR-041,10,8474.43,0.05,INR
PO00088,POL000088,V0113,2026-06-08,FAC-121,250,5857.08,0.0,INR
PO00089,POL000089,V0453,2026-04-24,UTI-024,2,3460.54,0.05,INR
PO00090,POL000090,V0178,2026-04-08,MAR-033,20,12960.99,0.12,INR
PO00091,POL000091,V0272,2026-04-21,UTI-133,50,3824.89,0.0,INR
PO00092,POL000092,V0463,2026-01-02,IT -027,20,20916.07,0.0,INR
PO00093,POL000093,V0378,2026-01-29,IT -006,5,8239.02,0.05,INR
PO00094,POL000094,V0202,2026-07-29,MAN-070,5,921.22,0.18,INR
PO00095,POL000095,V0129,2026-04-27,LOG-110,5,11908.69,0.18,INR
PO00096,POL000096,V0230,2026-05-09,IT -143,5,20927.53,0.12,INR
PO00097,POL000097,V0086,2026-06-30,IT -118,10,17625.16,0.12,INR
PO00098,POL000098,V0353,2026-07-09,PRO-049,50,32467.66,0.18,INR
PO00099,POL000099,V0323,2026-02-11,FAC-018,20,3320.65,0.18,INR
PO00100,POL000100,V0270,2026-01-19,IT -139,5,11292.56,0.05,INR
PO00101,POL000101,V0171,2026-06-05,MAN-040,10,195.8,0.0,INR
PO00102,POL000102,V0429,2026-03-24,PRO-068,5,7634.82,0.05,INR
PO00103,POL000103,V0035,2026-03-23,FAC-011,100,5522.04,0.18,INR
PO00104,POL000104,V0145,2026-04-08,UTI-094,250,4134.35,0.0,INR
PO00105,POL000105,V0172,2026-02-19,PRO-084,20,14954.3,0.0,INR
PO00106,POL000106,V0497,2026-07-18,LOG-049,50,8292.77,0.18,INR
PO00107,POL000107,V0482,2026-04-20,IT -030,20,13757.54,0.12,INR
PO00108,POL000108,V0467,2026-05-07,LOG-024,500,2394.8,0.0,INR
PO00109,POL000109,V0443,2026-01-07,LOG-006,250,7768.52,0.05,INR
PO00110,POL000110,V0081,2026-06-23,PRO-131,100,25288.71,0.12,INR
PO00111,POL000111,V0353,2026-05-23,PRO-133,100,28967.21,0.12,INR
PO00112,POL000112,V0309,2026-07-02,UTI-133,100,4769.98,0.0,INR
PO00113,POL000113,V0345,2026-01-31,UTI-154,250,616.04,0.12,INR
PO00114,POL000114,V0318,2026-05-04,IT -141,20,16689.43,0.12,INR
PO00115,POL000115,V0044,2026-02-02,OFF-036,20,677.16,0.18,INR
PO00116,POL000116,V0046,2026-03-15,OFF-063,500,119.02,0.18,INR
PO00117,POL000117,V0386,2026-01-01,MAN-001,20,2907.02,0.18,INR
PO00118,POL000118,V0082,2026-06-26,LOG-128,250,7349.71,0.0,INR
PO00119,POL000119,V0377,2026-06-18,MAN-075,5,549.76,0.12,INR
PO00120,POL000120,V0389,2026-02-22,LOG-075,100,5597.62,0.12,INR
PO00121,POL000121,V0498,2026-01-03,MAN-050,10,2129.66,0.18,INR
PO00122,POL000122,V0459,2026-02-17,OFF-158,2,876.73,0.05,INR
PO00123,POL000123,V0178,2026-01-22,MAR-130,1,11682.22,0.18,INR
PO00124,POL000124,V0010,2026-01-28,PRO-135,250,34359.86,0.12,INR
PO00125,POL000125,V0023,2026-02-23,PRO-077,250,29043.82,0.12,INR
PO00126,POL000126,V0010,2026-03-04,PRO-083,250,38400.49,0.12,INR
PO00127,POL000127,V0053,2026-04-22,PRO-061,500,30344.1,0.0,INR
PO00128,POL000128,V0435,2026-05-09,MAN-152,500,2342.36,0.05,INR
PO00129,POL000129,V0127,2026-07-07,LOG-064,10,512.27,0.18,INR
PO00130,POL000130,V0059,2026-06-07,IT -038,100,20733.12,0.18,INR
PO00131,POL000131,V0253,2026-04-11,PRO-022,10,17100.92,0.12,INR
PO00132,POL000132,V0498,2026-04-13,MAN-065,2,1130.8,0.12,INR
PO00133,POL000133,V0496,2026-03-09,MAR-145,10,3977.23,0.12,INR
PO00134,POL000134,V0401,2026-01-17,LOG-034,250,9442.66,0.12,INR
PO00135,POL000135,V0193,2026-01-04,PRO-032,500,6990.32,0.0,INR
PO00136,POL000136,V0378,2026-06-14,IT -050,5,19822.12,0.18,INR
PO00137,POL000137,V0345,2026-02-23,UTI-012,10,4928.82,0.12,INR
PO00138,POL000138,V0327,2026-05-16,MAN-120,250,2549.78,0.0,INR
PO00139,POL000139,V0284,2026-07-07,LOG-038,2,8179.4,0.05,INR
PO00140,POL000140,V0482,2026-04-01,IT -019,250,9610.55,0.18,INR
PO00141,POL000141,V0307,2026-03-19,MAR-145,20,16363.38,0.12,INR
PO00142,POL000142,V0370,2026-04-09,IT -068,100,9111.95,0.05,INR
PO00143,POL000143,V0256,2026-01-13,UTI-132,250,4141.84,0.18,INR
PO00144,POL000144,V0452,2026-04-08,FAC-087,1,2430.77,0.12,INR
PO00145,POL000145,V0036,2026-06-06,FAC-145,250,4635.89,0.12,INR
PO00146,POL000146,V0176,2026-07-16,IT -023,1,11324.42,0.12,INR
PO00147,POL000147,V0435,2026-04-26,MAN-043,500,2405.62,0.05,INR
PO00148,POL000148,V0178,2026-07-13,MAR-013,2,13780.95,0.12,INR
PO00149,POL000149,V0341,2026-01-02,UTI-140,500,3620.87,0.12,INR
PO00150,POL000150,V0105,2026-03-25,PRO-005,20,32289.09,0.18,INR
PO00151,POL000151,V0206,2026-03-21,MAN-033,5,257.99,0.18,INR
PO00152,POL000152,V0061,2026-07-17,OFF-092,100,1083.12,0.05,INR
PO00153,POL000153,V0429,2026-07-13,PRO-021,10,13813.0,0.0,INR
PO00154,POL000154,V0411,2026-07-29,OFF-115,1,99.67,0.0,INR
PO00155,POL000155,V0162,2026-06-07,PRO-088,10,39030.44,0.05,INR
PO00156,POL000156,V0477,2026-05-04,MAN-090,100,1475.61,0.0,INR
PO00157,POL000157,V0100,2026-05-16,LOG-112,20,7656.25,0.12,INR
PO00158,POL000158,V0398,2026-05-22,PRO-031,10,13100.48,0.12,INR
PO00159,POL000159,V0113,2026-05-29,FAC-062,2,2650.27,0.18,INR
PO00160,POL000160,V0424,2026-05-26,MAN-137,250,2739.39,0.0,INR
PO00161,POL000161,V0346,2026-06-25,OFF-147,250,1515.69,0.12,INR
PO00162,POL000162,V0279,2026-06-10,PRO-120,20,18549.04,0.0,INR
PO00163,POL000163,V0324,2026-07-24,UTI-083,5,1810.2,0.05,INR
PO00164,POL000164,V0035,2026-05-14,FAC-009,50,954.04,0.0,INR
PO00165,POL000165,V0413,2026-04-27,UTI-054,2,1933.51,0.18,INR
PO00166,POL000166,V0003,2026-04-22,LOG-100,500,2685.59,0.18,INR
PO00167,POL000167,V0479,2026-01-01,FAC-099,20,4007.32,0.05,INR
PO00168,POL000168,V0334,2026-05-24,MAR-078,500,9376.03,0.12,INR
PO00169,POL000169,V0338,2026-05-01,OFF-079,2,1367.78,0.12,INR
PO00170,POL000170,V0408,2026-03-16,FAC-104,250,5552.56,0.0,INR
PO00171,POL000171,V0245,2026-03-23,OFF-079,5,413.37,0.05,INR
PO00172,POL000172,V0098,2026-04-22,IT -147,10,22640.86,0.18,INR
PO00173,POL000173,V0123,2026-07-22,IT -053,50,9088.75,0.0,INR
PO00174,POL000174,V0383,2026-03-05,PRO-092,250,19389.1,0.18,INR
PO00175,POL000175,V0066,2026-04-25,UTI-141,500,3356.37,0.18,INR
PO00176,POL000176,V0134,2026-01-30,MAR-019,100,10150.06,0.0,INR
PO00177,POL000177,V0145,2026-01-19,UTI-055,20,4823.72,0.12,INR
PO00178,POL000178,V0307,2026-06-12,MAR-118,500,14900.81,0.12,INR
PO00179,POL000179,V0457,2026-03-04,LOG-004,20,1732.29,0.05,INR
PO00180,POL000180,V0101,2026-05-01,IT -039,100,2757.71,0.12,INR
PO00181,POL000181,V0197,2026-05-11,MAR-045,5,4308.48,0.18,INR
PO00182,POL000182,V0189,2026-05-04,OFF-112,50,768.2,0.12,INR
PO00183,POL000183,V0229,2026-03-31,OFF-117,10,1940.96,0.0,INR
PO00184,POL000184,V0335,2026-03-28,PRO-038,10,15787.53,0.12,INR
PO00185,POL000185,V0413,2026-01-05,UTI-109,2,1719.44,0.0,INR
PO00186,POL000186,V0039,2026-05-13,IT -131,5,1724.1,0.12,INR
PO00187,POL000187,V0184,2026-01-04,MAR-043,50,10083.12,0.0,INR
PO00188,POL000188,V0474,2026-03-07,OFF-087,250,275.14,0.18,INR
PO00189,POL000189,V0145,2026-07-27,UTI-158,2,4133.92,0.05,INR
PO00190,POL000190,V0060,2026-02-01,MAR-081,100,4335.03,0.0,INR
PO00191,POL000191,V0169,2026-04-13,IT -147,50,10556.73,0.05,INR
PO00192,POL000192,V0361,2026-01-14,MAR-027,10,16462.48,0.18,INR
PO00193,POL000193,V0364,2026-02-27,OFF-016,50,1444.72,0.05,INR
PO00194,POL000194,V0086,2026-02-21,IT -094,2,12811.75,0.12,INR
PO00195,POL000195,V0374,2026-05-18,LOG-053,2,7345.64,0.0,INR
PO00196,POL000196,V0443,2026-01-29,LOG-135,5,11174.14,0.05,INR
