invoice_month,invoices,exceptions,exception_rate,invoice_value,exception_value
2026-01,258,69,0.26744186046511625,226676722.86000004,35667475.109999985
2026-02,786,185,0.23536895674300254,749715465.7799999,276582363.1199999
2026-03,1362,321,0.2356828193832599,1386566781.1100013,493713780.30000025
2026-04,1335,313,0.2344569288389513,1461544041.1099997,549922094.3500003
2026-05,1394,330,0.23672883787661406,1565299199.9199998,471960497.77000016
2026-06,1369,343,0.2505478451424397,1894264610.8399994,815005085.6100005
2026-07,1597,553,0.34627426424546026,1959381289.3300016,940736165.27
2026-08,1256,464,0.36942675159235666,1195340691.3,423321029.3100004
2026-09,472,91,0.19279661016949154,443293171.35000014,83883180.25000003
2026-10,67,27,0.40298507462686567,32493387.160000004,14417026.369999995
2026-11,24,24,1.0,24604614.78,24604614.78
2026-12,20,20,1.0,46403525.019999996,46403525.019999996
2027-01,22,22,1.0,17354107.46,17354107.46
2027-02,16,16,1.0,30523393.180000003,30523393.180000003
2027-03,14,14,1.0,10317962.09,10317962.09
2027-04,8,8,1.0,27084234.259999998,27084234.259999998
