vendor_id,invoices,exceptions,exception_rate,invoice_value,exception_value
V0398,16,5,0.3125,234164918.59,175587273.06
V0335,31,11,0.3548387096774194,207912699.85,162206046.02
V0081,40,10,0.25,182505462.93,145078860.2
V0463,45,15,0.3333333333333333,150500259.13000003,111326054.32000001
V0161,19,8,0.42105263157894735,129500968.08,104799520.67
V0353,47,16,0.3404255319148936,167884973.94,95990282.25
V0482,38,14,0.3684210526315789,120290852.49999999,93915001.64999999
V0354,29,10,0.3448275862068966,124723055.99,75375292.46
V0448,50,13,0.26,189968781.54999998,74923973.05999999
V0334,24,8,0.3333333333333333,102396733.94,62068562.48
V0228,52,13,0.25,150516023.58,61744010.06999999
V0369,13,4,0.3076923076923077,100071274.96000001,60151374.01
V0251,43,9,0.20930232558139536,120995857.69000003,56730715.56
V0154,45,10,0.2222222222222222,112677614.36,56478052.37999999
V0099,27,11,0.4074074074074074,84339106.15,53919090.01
V0084,49,18,0.3673469387755102,116513947.72000001,50758149.36999999
V0101,41,8,0.1951219512195122,58840237.04,49670461.82
V0476,35,13,0.37142857142857144,91073289.00999999,49081182.04
V0262,51,13,0.2549019607843137,134148237.36000001,48812218.510000005
V0016,20,9,0.45,62337852.07,47312083.54
